Cryo-Cell International, Inc.;;;;;;;;;;;;;
Pricing;;;;;;;;;;;;;
Puerto Rico;;;;;;;;;;;;;
;;;;;;Twins;;;;Triplets;;;
; Annual Plan ;;21 Year Plan;;; Annual Plan ;;21 Year Plan;; Annual Plan ;;21 Year Plan;
New Client;;;;;;;;;;;;;
  Umbilical Cord Blood Service;;;;;;;;;;;;;
     Cord Blood Processing & Testing Fee; $1 799 ;; $3 799 ;;; $3 418 ;; $7 218 ;; $5 037 ;; $10 637 ;
     Annual Storage Fee; 125 ;;0;;; 250 ;;;; 375 ;;;
     Medical Courier Fee; 200 ;;200;;; 200 ;;200;; 200 ;;200;
     Discount/Coupon Amount; -   ;; -   ;;; (0);; (0);; (0);; (0);
     Total - Enter quoted price; $2 124 ;; $3 999 ;;; $3 868 ;; $7 418 ;; $5 612 ;; $10 837 ;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
  Umbilical Cord Blood and Cord Tissue Service;;;;;;;;;;;;;
     Cord Blood Processing & Testing Fee; $1 799 ;; $3 799 ;;; $3 418 ;; $7 218 ;; $5 037 ;; $10 637 ;
     Cord Tissue Processing & Testing Fee; 575 ;; 2 575 ;;; 1 150 ;; 5 150 ;; 1 725 ;; 7 725 ;
     Annual Storage Fee; 250 ;;;;; 500 ;;;; 750 ;;;
     Medical Courier Fee; 200 ;; 200 ;;; 200 ;; 200 ;; 200 ;; 200 ;
     Discount/Coupon Amount; -   ;; -   ;;; (0);; (0);; (0);; (0);
     Total - Enter quoted price; $2 824 ;; $6 574 ;;; $5 268 ;; $12 568 ;; $7 712 ;; $18 562 ;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Returning Client;;;;;;;;;;;;;
  Umbilical Cord Blood Service;;;;;;;;;;;;;
     Cord Blood Processing & Testing Fee; $1 619 ;; $3 419 ;;; $3 238 ;; $6 838 ;; $4 857 ;; $10 257 ;
     Annual Storage Fee; 125 ;;;;; 250 ;;;; 375 ;;;
     Medical Courier Fee; 200 ;; 200 ;;; 200 ;;200;; 200 ;;200;
     Discount/Coupon Amount; (0);; (0);;; (0);; (0);; (0);; (0);
     Total - Enter quoted price; $1 944 ;; $3 619 ;;; $3 688 ;; $7 038 ;; $5 432 ;; $10 457 ;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
  Umbilical Cord Blood and Cord Tissue Service;;;;;;;;;;;;;
     Cord Blood Processing & Testing Fee; $1 619 ;; $3 419 ;;; $3 238 ;; $6 838 ;; $4 857 ;; $10 257 ;
     Cord Tissue Processing & Testing Fee; 575 ;; 2 575 ;;; 1 150 ;; 5 150 ;; 1 725 ;; 7 725 ;
     Annual Storage Fee; 250 ;;;;; 500 ;;;; 750 ;;;
     Medical Courier Fee; 200 ;; 200 ;;; 200 ;; 200 ;; 200 ;; 200 ;
     Discount/Coupon Amount; (0);; (0);;; (0);; (0);; (0);; (0);
     Total - Enter quoted price; $2 644 ;; $6 194 ;;; $5 088 ;; $12 188 ;; $7 532 ;; $18 182 ;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
New Client; Annual Plan ;;25 Year Plan;;;;;;;;;;
  Menstrual Stem Cell;;;;;;;;;;;;;
     Menstrual Processing & Testing Fee; $1 099 ;; $3 925 ;;;;;;;;;;
     Annual Storage Fee; 125 ;;;;;;;;;;;;
     Medical Courier Fee; 200 ;; 200 ;;;;;;;;;;
     Discount/Coupon Amount; -   ;; -   ;;;;;;;;;;
     Total - Enter quoted price; $1 424 ;; $4 125 ;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Returning Client;;;;;;;;;;;;;
  Menstrual Stem Cell;;;;;;;;;;;;;
     Menstrual Processing & Testing Fee; $989 ;; $3 825 ;;;;;;;;;;
     Annual Storage Fee; 125 ;;;;;;;;;;;;
     Medical Courier Fee; 200 ;; 200 ;;;;;;;;;;
     Discount/Coupon Amount; -   ;; -   ;;;;;;;;;;
     Total - Enter quoted price; $1 314 ;; $4 025 ;;;;;;;;;;
;;;;;;;;;;;;;
